Area,PDP,SSIM,Label
4369108,843.411134914469,0.7423842380942564,set1
4345367,850.1589658292247,0.7802890559276116,set1
4301839,849.908935973631,0.7002593651634649,set1
4352237,840.3960010031261,0.690885430077998,set1
4302574,845.3149935320899,0.7144094838196832,set1
4302079,849.343662174197,0.7461126867618849,set1
4301286,851.1948403400659,0.7035449350046379,set1
4301795,850.1495122785932,0.7171996414204715,set1
4347506,842.972705935558,0.6356693146146499,set1
4313623,848.8122627075012,0.7464419539217465,set1
