Area,PDP,SSIM,Label
6463336.47,1100.40,1.000,set1
4318593.96,837.77,0.089,set1
4311781.66,833.20,0.114,set1
4400275.76,921.64,0.385,set2
4398103.72,913.10,0.462,set1
4324188.61,840.55,0.172,set2
4405870.40,929.10,0.585,set2
4375955.52,901.78,0.375,set1
4445000.00,950.00,0.000,set2
2700000.00,760.00,0.169,set1
