CNN,PDP,Area,Label
87,847.5805049986595,4337659.830957417,set1
87,876.9120662242844,4313843.391803048,set2
89,847.3513482272473,4344305.961482824,set1
87,846.8855246709412,4344832.072460892,set1
87,867.7230989837786,4320049.694785927,set2
89,849.1442091810419,4335646.364980328,set1
88,875.3292901447445,4319262.56864053,set2
87,871.030892767018,4317445.20778348,set2
88,849.507186688167,4334863.291641791,set1
88,848.8324683320577,4343661.443426648,set1
