Area,PDP,Metric,Label
4322044,919.8532591846604,0.801004592758846,set1
4340302,920.4827227150274,0.8064097903216064,set1
4302599,888.7324594833756,0.658607099966043,set1
4366097,915.6845700870178,0.8551176636104745,set1
4324162,919.1685864698688,0.8004566268295651,set1
4321548,920.1659303745124,0.7982459877245831,set1
4326126,916.9231009242802,0.8048684422595377,set1
4312705,886.6888887809986,0.620192513849817,set1
4361350,912.6816813165254,0.8221302836808487,set1
4345082,886.064450578494,0.6029410010078387,set1
