Area,PDP,Metric,Label
4301839,849.908935973631,32.29804517539817,set1
4302984,849.0627634223937,32.3690617904457,set1
4323170,926.978186434912,32.54518568453712,set1
4302079,849.343662174197,32.23538078365434,set1
4302587,929.8163443876654,32.54890779057218,set1
4353728,924.8137141831794,32.522960053313334,set1
4319748,927.82680599488,32.5414511423921,set1
4304704,928.86237480866,32.550950605067165,set1
4354188,921.4614710079516,32.57164131354836,set1
4320676,844.5869600789837,32.17547315239314,set1
