Area,PDP,Metric,Label
4351243,920.080253475361,24.97190821751816,set2
4363264,918.051518996933,24.971286453120022,set2
4352707,845.5463672378236,20.55641745129255,set1
4339339,926.0665046643596,28.02139649280817,set1
4350510,917.834787822502,24.96552370377701,set2
4333253,929.693625407431,28.10450215228224,set1
4375655,928.7131685946264,38.689505214193424,set2
4354910,849.6596696473615,20.61230791346728,set1
4345149,929.0813958877758,28.102416243243088,set1
4362222,850.1683835594665,20.655183475784124,set1
