Area,PDP,PSNR,Label
4330877,929.9881019749196,28.056549878252017,set1
4331235,929.9608148858172,28.00187893185698,set1
4339288,929.938307319263,27.949762218094744,set1
4345081,929.911114989784,28.06136001068558,set1
4343659,929.9169475387208,28.075490169068875,set1
4338412,929.9272991041528,28.041652501965984,set1
4353572,929.8059121083596,28.045176379223285,set1
4353717,929.951714962597,28.00339205864291,set1
4336247,929.9135898890028,28.026285426293384,set1
4342838,929.9654749088968,28.04221200189816,set1
4337297,929.979885169924,28.00889467496147,set1
4348254,929.7650626403298,28.028010389507088,set1
4345451,929.6827100758468,27.979676744553306,set1
4348400,929.7910334561732,28.010084931990185,set1
4353083,929.5797644008726,28.010615306993284,set1
4333253,929.693625407431,28.10450215228224,set1
4337344,929.5598717665016,28.00327570820429,set1
4350431,929.618907915786,28.018661987236303,set1
4348651,929.5673307649336,27.990609624374983,set1
4345615,929.8852810575962,28.022464311745843,set1
4339949,929.8257344271916,28.0119392301503,set1
4350449,929.874655473474,28.029862134565345,set1
4334130,929.7796160138868,28.011203702162017,set1
4345131,929.3775076193178,27.99424032289349,set1
4335354,929.486447905971,28.0574236736999,set1
4331773,929.9018219702564,28.046248398687737,set1
4344155,929.5218438087848,28.07699192379576,set1
4330095,929.6519951094564,28.0371429883672,set1
4339968,929.3049319319764,28.043343443742582,set1
4343862,929.404520166589,28.052446050806925,set1
4353741,929.1523626767892,28.007943441745525,set1
4348734,929.364664877153,27.988184533218,set1
4331578,929.4894554058708,28.03139676138673,set1
4341120,929.0502390988488,28.09645184511381,set1
4343808,928.9267427381792,28.060093372540425,set1
4337681,929.4011631114988,28.02922333810443,set1
4348601,930.072774722174,27.977242883456565,set1
4348461,929.3847776342632,28.06849652431652,set1
4343182,929.6625071810744,28.00131323390349,set1
4343469,929.934886529258,28.04182137751252,set1
4347053,929.8703795171974,28.02834864931589,set1
4333329,928.7296247649582,28.05559994837449,set1
4353256,929.5995834996044,28.026354799609702,set1
4345957,929.3118093601544,28.01874176646357,set1
4334628,929.2615254009028,28.09238735394302,set1
4353067,928.7714517905032,28.079146261472143,set1
4346694,928.6969554049113,28.071002354932745,set1
4336380,928.9305671950274,28.02469566431761,set1
4340034,929.0542462665244,27.98149081107607,set1
4332202,929.9175730795092,28.022063427532952,set1
4336512,929.13107354953,28.009767839678545,set1
4341111,929.4643935201173,28.04498404261769,set1
4346388,929.4647000538802,28.04567951938493,set1
4338844,929.0038796784862,28.048901702379272,set1
4335795,929.0641004938602,28.01633721735652,set1
4348947,929.085202719526,27.93123658873552,set1
4334904,928.6054915649617,28.08796830837667,set1
4345235,929.3129186403244,28.06180556284324,set1
4337751,928.9841047400112,28.01816656838213,set1
4354567,928.8100245258692,28.039789580072107,set1
4337093,930.1277361076186,28.122323017505373,set1
4341377,930.3466111079296,28.037709365609945,set1
4333409,928.3836634967456,28.040069420521625,set1
4341041,928.5752572912138,28.05793311114711,set1
4353431,928.5802545894772,27.97293110539641,set1
4330392,928.1629504251928,27.94960061251516,set1
4331107,928.4394069432542,28.05524088672183,set1
4344104,927.9898710007382,28.059337902105263,set1
4347626,930.216327627198,27.99477814382885,set1
4348329,929.4116316972018,28.02459675228865,set1
4332599,928.9197929380338,28.09799755516108,set1
4341807,930.0380632713552,28.045508142446348,set1
4334861,928.892548450781,28.05527926660008,set1
4337226,928.7845134152318,28.07923076807344,set1
4351908,927.83086825144,28.08009834231494,set1
4336360,928.9353089885014,28.02304760383877,set1
4349142,928.2339568700888,28.02190386879312,set1
4354091,927.8963702044716,28.056032716715137,set1
4337781,928.7658863313288,28.03188756234885,set1
4352612,929.746444687726,28.03937660550082,set1
4334372,930.1564191745672,27.999901932607298,set1
4353963,928.0154311701745,28.02536087864817,set1
4344468,928.7852265382412,28.00074973121229,set1
4334139,928.2785864819934,28.002581642768167,set1
4335470,928.7688193113178,28.0192079819339,set1
4345172,927.6473623785464,28.0173180904457,set1
4333922,930.6022871612822,28.021444436696207,set1
4332012,928.3087819638688,28.00849260215564,set1
4348330,930.453274949326,28.072426274853605,set1
4339987,929.0563394963544,27.976637334794948,set1
4335979,929.2680157177284,28.017891963128797,set1
4333340,928.5571619676346,28.04733456220337,set1
4351936,929.7860853019348,28.046030011052967,set1
4350658,927.5509419217824,28.068096939413834,set1
4333543,930.0065922697828,28.01925802902178,set1
4336776,929.0640977444284,28.01758224350801,set1
4339583,928.5700402405092,28.0511688276238,set1
4332082,928.4412479362616,28.01810350558639,set1
4341731,929.415625905682,28.1081469311641,set1
4342709,930.548753789357,28.0470171079218,set1
4332841,929.6235056581852,28.083278535602904,set1
4347969,928.5401925576924,27.990842382816496,set1
4343794,927.9817184150016,28.071700457870357,set1
