Area,PDP,Metric,Label
4327379,919.0970932988746,36.62187351292157,set1
4323106,886.0241784538972,28.21360951897764,set1
4362271,916.303663405164,36.60100450558016,set1
4354203,865.7071574040937,16.310489438285156,set2
4312898,890.0064623564667,28.291389423425983,set1
4351024,880.9554012768571,28.19600827601851,set1
4323240,917.5500180357224,36.589507152461806,set1
4367299,838.8412845209357,20.41166213635312,set1
4310451,888.4117029563579,28.24960536995301,set1
4327452,915.3405570625472,36.570452157711,set1
