Area,PDP,SSIM,Label
43570.48,927.8615187606486,0.8008327748405574,set2
43541.88,921.4614710079516,0.7209000258828689,set1
43165.63,928.5418009021512,0.7069377164449387,set1
43601.53,875.9688354656593,0.6911868715399863,set2
43115.16,928.753150399425,0.7111829637867639,set1
43111.98,929.0187235020232,0.6936617594783993,set1
43503.99,883.3889069564038,0.702766489551094,set2
43016.81,929.6903122414152,0.6904002547496919,set1
43723.96,925.942195241842,0.7940425344085882,set2
43116.87,926.6618297541344,0.7051439052457289,set1
