Area,PDP,SSIM,Label
43691.08,843.411134914469,0.7423842380942564,set1
43453.67,850.1589658292247,0.7802890559276116,set1
43018.39,849.908935973631,0.7002593651634649,set1
43522.37,840.3960010031261,0.690885430077998,set1
43025.74,845.3149935320899,0.7144094838196832,set1
43020.79,849.343662174197,0.7461126867618849,set1
43012.86,851.1948403400659,0.7035449350046379,set1
43017.950000000004,850.1495122785932,0.7171996414204715,set1
43475.06,842.972705935558,0.6356693146146499,set1
43136.23,848.8122627075012,0.7464419539217465,set1
