generation_no,PDP,Area,Accuracy
1,970.4171960318081,47899.269165714475,79.24554901808655
2,955.3113361079689,47542.96880311347,80.70738716497821
3,942.0254020878731,47221.29097336313,81.99278544967248
4,930.6739128806723,46937.86730244784,83.09624611233741
5,920.8718378423273,46680.466528516146,84.04101314610197
6,912.4155669017039,46458.10446758274,84.85687141583705
7,905.2738348835882,46267.37775431598,85.57420677129883
8,899.0273691964999,46089.764934174986,86.16422110279765
9,893.6024630129859,45927.35609681143,86.69211139466637
10,889.0243247711473,45788.35902500237,87.17695879200608
11,885.22852202039,45666.23183557017,87.58875030747672
12,881.7125158632696,45556.63011412816,87.90475172464024
13,878.6033236239055,45456.18633176791,88.18866640419228
14,876.0858476738166,45362.38674697875,88.42902357539695
15,874.036161976541,45279.71807000893,88.65091082665049
16,872.2642376003375,45212.26006109067,88.82983204297928
17,870.4934024539342,45160.45015123532,88.9800075587834
18,869.5754350724349,45150.6391865127,89.02540682412024
19,865.1846171772166,44946.323009772896,89.46004714908888
20,859.9742123837344,44685.10295187698,89.97849021875604
21,856.1238480296335,44496.86419882282,90.37672374750778
22,856.1237705897297,44506.26229491605,90.39697746295771
23,855.6433448512023,44469.386519952444,90.48488261566335
24,855.0395915137933,44442.02484878717,90.53226324402966
25,854.6721126042556,44421.63490350344,90.57322901179897
26,854.271859282704,44405.345363332875,90.60252183586678
27,853.9119282713209,44388.242851577364,90.62555397852859
28,853.3895056579179,44370.49369047736,90.66877770265307
29,853.3458373444254,44358.22823166478,90.70656421091917
30,853.1873474318759,44337.7878836261,90.73163261084116
31,852.9486087395209,44333.82953078252,90.75873315211126
32,852.6892619812389,44328.93811291596,90.78347981635807
33,852.6059703417164,44321.58580258915,90.780049814127
34,852.4292621470191,44309.511174720996,90.77037224222046
35,852.2766606092329,44301.03579542111,90.77369975952479
36,852.1720881946262,44293.90502034062,90.798107579227
37,852.2384995576652,44277.98124065559,90.78307548123038
38,851.9955432216944,44272.51558126,90.78258404918566
39,851.9146645399976,44270.28106949804,90.79771668272829
40,851.9589686529443,44278.61904930073,90.8189561689033
41,852.0745126408539,44276.29952648439,90.8251418008303
42,851.7770827479997,44272.16890967032,90.83617044781896
43,851.727938727307,44265.75312316408,90.85078473581598
44,851.8836761683532,44259.85485146727,90.85595020973211
45,851.7526184908097,44256.314718910886,90.84711230845913
46,851.6284345894655,44256.79472514425,90.83217177596333
47,851.7709677320133,44260.574237947854,90.84225713968954
48,852.0249790198839,44261.64939332286,90.85863574209245
49,851.818602616752,44255.036313632925,90.87286326706268
50,851.5594693906194,44248.54692054611,90.87844934373364
51,851.3705695670312,44248.40510538103,90.8920472400378
52,851.8490725528326,44249.13093039217,90.86112403164157
53,851.9324890485294,44248.480425731774,90.87129188898206
54,851.7487422865822,44251.70423364693,90.8695058563411
55,851.3855039221316,44258.79323419388,90.8597974420475
56,851.6246304883038,44252.72006689018,90.83084419248641
57,851.6680257209398,44246.56847094839,90.84189776542382
58,851.7910100357471,44244.606383063925,90.85925979929442
59,851.7162375457576,44251.1359919952,90.87885742427233
60,851.6221960354673,44249.5694108747,90.88197477486924
61,851.5910977999863,44247.17397584976,90.86910229387468
62,851.6530008528274,44240.799946311476,90.85435165440569
63,851.5186746450509,44236.76029819527,90.86405205335019
64,851.4255568713503,44239.17745334978,90.8843801011998
65,851.6574227690497,44251.46490599025,90.8800126729191
66,851.7888713169107,44252.03435311274,90.86067914031298
67,851.7308166924228,44248.65862469691,90.86317144215731
68,851.6605441495848,44246.11353159154,90.8616250095596
69,851.6479018803582,44247.18332295786,90.8596278562498
70,851.7420718993441,44240.37872767809,90.85727298085709
71,851.8570774001964,44245.31870937757,90.8725235893931
72,851.8711693837079,44248.13507588374,90.86396261645321
73,851.5122599016003,44255.63252148855,90.87480944665742
74,851.4114597317292,44243.978953498954,90.88013055406765
75,851.590237166091,44241.64402123183,90.8554597389892
76,851.7508170478687,44240.35500024972,90.8431514463123
77,851.5815395964912,44247.68275915478,90.85262281731781
78,851.5224723531469,44242.927164783265,90.85361927451918
79,851.5108239904287,44239.77189980378,90.85125969465572
80,851.5595649507031,44236.09284014389,90.83946960588065
