generation_no,PDP,Area,Accuracy
1,975.658290642334,47950.558539073056,79.97052970765006
2,967.5777794605378,47599.29099465107,80.7411268375673
3,960.1268340731452,47277.70384108559,81.45801498501922
4,953.2943609473764,46988.34411603767,82.12738987106044
5,947.0182465930518,46719.876997976506,82.72903367855105
6,941.1274187886384,46466.48403058708,83.28495330399909
7,935.5995999208948,46228.459110247015,83.80982589400837
8,931.6692819127071,46044.47167865152,84.22728697047731
9,923.7984383541196,45692.82165142865,84.96408027250372
10,914.941913010478,45289.216445069615,85.80804198068667
11,907.1642258238357,44973.51379555439,86.47378554536947
12,903.9792819956299,44865.015799373694,86.73225361804434
13,900.3163877918803,44735.570229917095,87.03649386852545
14,897.1270876678856,44607.25277607366,87.38398180529077
15,893.6018480787411,44496.66888198041,87.68564995296879
16,890.4596186303572,44387.8789048272,87.96097428494235
17,887.7760142520137,44282.41239233165,88.19832689328626
18,885.0926260700483,44195.97893707144,88.41343108124667
19,882.1702263960132,44107.50325217184,88.62062229868269
20,879.4394310027826,44005.294324371745,88.87161584904871
21,876.9241359482489,43922.38908897211,89.09209668125017
22,874.8785248743461,43872.934031341356,89.26379992650834
23,872.9074818797657,43811.2517869969,89.42555398360501
24,871.1354923146368,43747.350390637584,89.57841410114466
25,869.47435531467,43710.91649666849,89.71590164611854
26,868.040154995637,43673.094253422634,89.82893385637642
27,866.5977284543869,43630.26296570131,89.93977034238172
28,865.3028586216459,43581.20565545959,90.01411703815415
29,864.1686513368021,43551.19493799006,90.12249483243167
30,863.0474347721849,43520.63360550138,90.2351560313929
31,861.9989493155147,43489.48084331115,90.34364585822348
32,860.9244410082295,43450.17435143615,90.43790524643968
33,860.1952302798325,43424.5861026286,90.50284239525925
34,859.2160122286622,43402.41278229902,90.56157096544902
35,858.5369008266739,43377.44253812561,90.6027220223404
36,857.4987987145914,43357.213505844964,90.67746572407634
37,856.6720032331318,43344.71155051327,90.73990199661836
38,855.5773804775013,43329.542483741476,90.79755115776213
39,855.1899267030368,43317.77039453005,90.82600200338403
40,854.838413333174,43310.579029625456,90.85221124647416
41,854.2881041399685,43297.448819839585,90.88868484125777
42,853.5876065982659,43277.30086621324,90.932657146401
43,852.8550113949173,43266.25164194635,90.96953997342952
44,852.0719820720436,43260.681950695674,91.02393413045502
45,851.6239448971784,43246.96429354799,91.05691364089962
46,851.4639087366197,43240.33648440214,91.05774966991939
47,851.235311881318,43239.87650669182,91.11045449644021
48,850.6071278066386,43238.70751652953,91.13641755569266
49,850.470488562823,43220.62042123751,91.14928183086847
50,850.0940079554682,43217.3826183871,91.1388911850718
51,849.581607793247,43218.64842130999,91.19796368750033
52,849.2282251878186,43208.167551030994,91.20349567424623
53,849.0121831420023,43199.80892512256,91.2168712381789
54,848.9158965657326,43193.5418509831,91.24225857781522
55,848.6498700489593,43204.224686064816,91.26506875495522
56,848.6878938437758,43197.33503595965,91.28140572985106
57,848.2602936229061,43198.68737526816,91.28462835540527
58,847.9867832123435,43175.84932441345,91.29642848290659
59,847.9161430843827,43163.918326210834,91.2966893307385
60,848.1275608877108,43163.40812291204,91.31105971050386
61,847.8711510124095,43173.88188100739,91.31430095874693
62,847.616208730142,43183.65325416932,91.32767432631243
63,847.130848886203,43180.1894830262,91.32254262251664
64,847.2247551647847,43173.69780935188,91.34764808109132
65,847.1753879617029,43171.36646563465,91.35827817462172
66,847.2968137212176,43178.82724390789,91.37474803398202
67,847.1229674664569,43172.81317758555,91.36310654376479
68,847.2389944559058,43157.84789888817,91.37535082625743
69,846.7836471494991,43143.63849803389,91.40266276263313
70,846.6860313664724,43143.69720505105,91.41943258445856
71,846.6382978877205,43140.769968298,91.40024283660824
72,846.706406445935,43163.23086433418,91.39230597957395
73,846.3275072329188,43167.910824541075,91.38378606668383
74,846.4790749567769,43165.61742760398,91.39290209264804
75,846.4296676965004,43146.51334822505,91.38809739145759
76,846.1568779719448,43150.63377588015,91.39987953659781
77,845.8678524547299,43148.92569516964,91.39323819186195
78,845.9358939971751,43159.00163821435,91.40268766239635
79,846.2193252865338,43164.47620334568,91.39563749359463
80,846.743525187137,43169.26651890335,91.3777599014223
