generation_no,PDP,Area,Accuracy
1,980.2141251655586,47991.52686646025,79.0765911213298
2,972.9926864334667,47678.45799327598,79.94061944160252
3,966.0044254217428,47386.691127721235,80.7423874373231
4,959.2221600845576,47119.43833343577,81.48891250176482
5,952.8325553842924,46864.75563350837,82.16014765355571
6,946.9742875331538,46624.663049811585,82.82486899759857
7,941.4480116528578,46389.219815582415,83.41490642881809
8,936.9844995855933,46219.92937234139,83.87546320860781
9,929.2698637956858,45878.62107123736,84.67169497651425
10,919.848634325002,45503.912191726675,85.58091284905801
11,912.1618113614821,45187.730238109245,86.35171093353773
12,908.2326245791791,45073.12106910563,86.72163327202246
13,904.3187767638414,44927.03450794318,87.13115375774032
14,900.7392663701185,44797.01619680668,87.45690415976186
15,897.8871883811266,44678.129830829435,87.81281664202857
16,894.4867915326719,44562.927177899386,88.15018084881753
17,891.4491486623451,44453.01260677616,88.49449819320294
18,888.7839365625653,44361.27611922396,88.77572059901462
19,885.730377377082,44269.352760851594,89.10001677320199
20,882.242204841559,44173.61737105355,89.38791251705653
21,879.7496300516389,44079.41548813702,89.59931709111434
22,877.6900729333079,44010.7007768638,89.79657920080939
23,875.423562447673,43937.189689475876,90.04787340442103
24,872.9209275759207,43872.93433265319,90.3018468049701
25,871.0326452863707,43818.66207602059,90.4686936883586
26,869.5959246691971,43781.791657333095,90.60494470537168
27,868.2136415974767,43734.533352423256,90.75179622521267
28,866.7363905546852,43681.20301864113,90.88709345807182
29,865.2822599213096,43634.26631990477,91.03557362561803
30,864.0063050460035,43605.95643182436,91.16700324314706
31,862.4582953569335,43578.33594026696,91.31643332743725
32,860.815948373429,43536.139793513226,91.45490872200394
33,859.5224994551576,43504.361964045136,91.57094572033893
34,858.5448006037632,43472.5444138464,91.63568231383488
35,857.7411830534122,43439.80018306598,91.6896858453691
36,856.775356717696,43401.4709290201,91.7555684050349
37,855.5998552795083,43386.94383754508,91.84375916264159
38,854.7703596310787,43369.22035551981,91.92677882929763
39,853.9998382839252,43353.513285839406,92.01224102432627
40,853.2534705375231,43332.356841764326,92.08186990200784
41,852.6547537335936,43324.24769409536,92.14426219431462
42,851.842965287432,43303.73776415945,92.22175337776771
43,850.7580383617519,43289.550992251585,92.27419150444076
44,850.2409590667221,43277.01648800113,92.34346225634704
45,850.2106245397462,43264.19595435436,92.39153963056586
46,849.3794248541461,43238.12617582329,92.44495563532519
47,848.2196676454653,43224.56403867879,92.47698041650429
48,848.262845814299,43232.466461083284,92.4971579420624
49,848.2965519766011,43233.66399911978,92.51965705333676
50,847.9185420844302,43222.70464383075,92.55032968433176
51,847.2379123982769,43204.32930493563,92.58417359359473
52,846.9417976324014,43198.124958760556,92.60010276637276
53,846.7139894692389,43189.84336215416,92.62268418349501
54,846.1869455858778,43187.187548627546,92.6867697963091
55,845.5887704730268,43183.19217146434,92.72511685075364
56,845.0630675681623,43175.4696913377,92.73633134771157
57,844.8676064031488,43165.678725682315,92.74954460868861
58,844.4165874021113,43153.97893165586,92.7806064747542
59,844.4129259629598,43154.87035627766,92.78736650159128
60,844.3777250345352,43150.746471451785,92.7867143630796
61,844.3945510336505,43141.360738938856,92.81495657227035
62,844.2727143551435,43117.35585186824,92.85588125399588
63,844.4239867942889,43108.95888985509,92.84328502092615
64,844.1340514752701,43119.5030680005,92.83135935579686
65,843.5675317754703,43133.079033548136,92.86493738885181
66,843.3556935301804,43139.58546135655,92.90784802008979
67,843.2613242787673,43132.306325871476,92.91647411896281
68,843.1920171114458,43126.20765789578,92.93204433479823
69,842.9260987269072,43115.81540233836,92.95303362696995
70,842.9904087074642,43111.56330866963,92.95283054188035
71,842.6564171848277,43118.6405296047,92.9313513937405
72,842.6973360827249,43123.47251316256,92.93553663463803
73,842.478821107102,43117.72174828571,92.94690006451691
74,842.4036291067318,43104.951265009164,92.98178976233822
75,842.1265308733942,43097.79644951153,92.993263554811
76,842.4577680809928,43095.71698647566,92.98753494268026
77,842.2193072653204,43105.401223790424,92.96715661894689
78,842.1649654623486,43117.37234438026,92.97212708440568
79,842.2922221325261,43118.1781474833,92.97030049799179
80,842.5738488953256,43110.56189324962,92.96992946919153
