CNN,PDP,Area,Label,Threshold
87,852.4887491777911,4317913.900716362,set1,0
93,854.4643497251685,4320795.4191738935,set1,0
93,846.3886093348177,4315952.517103181,set1,1
93,853.9438936283002,4321360.508256645,set1,0
89,861.8968839224024,4319921.082681738,set1,1
92,844.6084724573707,4310125.774972488,set1,1
91,852.7115081463338,4327411.251896422,set1,0
