CNN,PDP,Area,Label,Threshold
87,869.3951358843325,4307630.216578912,set2,0
89,928.8136830632168,4398874.0,set2,0
87,868.9830307246152,4311933.429774774,set2,0
86,929.7434927366288,4429245.0,set2,0
93,880.0754502435636,4349959.883582619,set1,0
89,839.3182750842612,4312671.104376877,set2,1
88,925.1533653643824,4398399.0,set2,0
89,929.3828039454708,4396147.0,set2,0
87,928.421130292772,4349039.0,set2,0
87,868.9830307246152,4311933.429774774,set2,0
